x,y,yaw,curvature,speed
0.376881,3.396366,-2.941500,1.164731,1.000
0.280259,3.370857,-2.756044,2.612940,1.000
0.194168,3.322210,-2.356705,5.810370,1.000
0.145306,3.236041,-1.955914,2.654920,1.000
0.120066,3.139404,-1.794881,0.628283,1.000
0.100912,3.041258,-1.766046,-0.050303,1.000
0.081266,2.943214,-1.732188,0.728835,1.000
0.068808,2.844069,-1.650372,0.910086,1.000
0.065391,2.744150,-1.589764,0.304398,1.000
0.065016,2.644151,-1.572816,0.034687,1.000
0.064988,2.544151,-1.572477,-0.027914,1.000
0.064680,2.444152,-1.587467,-0.271985,1.000
0.061654,2.344218,-1.649665,-0.975082,1.000
0.048952,2.245147,-1.767904,-1.398767,1.000
0.022624,2.148773,-1.870347,-0.658010,1.000
-0.010004,2.054254,-1.837625,1.318533,1.000
-0.029944,1.956463,-1.694058,1.565943,1.000
-0.034492,1.856594,-1.595981,0.406701,1.000
-0.034978,1.756595,-1.573335,0.046474,1.000
-0.035000,1.656595,-1.570904,0.002151,1.000
-0.035000,1.556595,-1.570796,0.000000,1.000
-0.035000,1.456595,-1.570796,0.000000,1.000
-0.035000,1.356595,-1.570796,0.000000,1.000
-0.035000,1.256595,-1.570796,0.000000,1.000
-0.035000,1.156595,-1.570796,0.000000,1.000
-0.035000,1.056595,-1.570796,0.000000,1.000
-0.035000,0.956595,-1.570761,0.000701,1.000
-0.034993,0.856595,-1.569745,0.019616,1.000
-0.034790,0.756596,-1.558230,0.210739,1.000
-0.032480,0.656635,-1.502839,0.899507,1.000
-0.021230,0.557370,-1.370185,1.770850,1.000
0.007152,0.461737,-1.129460,3.147868,1.000
0.062688,0.379734,-0.822855,4.206818,1.000
